question,answer,category,clean_question,clean_answer,clean_text
Hello,👋 Hello! Welcome to FindMate. Tell me what you lost or found and I will guide you.,greeting,hello,hello welcome to findmate tell me what you lost or found and i will guide you,hello hello welcome to findmate tell me what you lost or found and i will guide you
Hi FindMate,"👋 Hi! I can help with lost items, found items, contact office and common places to check.",greeting,hi findmate,hi i can help with lost items found items contact office and common places to check,hi findmate hi i can help with lost items found items contact office and common places to check
I lost my ID card,"📋 Looking for your ID card? Check Student Affairs Office, Library Reception and Security Office. Report it quickly so it can be found faster.",lost_id,i lost my id card,looking for your id card check student affairs office library reception and security office report it quickly so it can be found faster,i lost my id card looking for your id card check student affairs office library reception and security office report it quickly so it can be found faster
My student card is missing,"📋 For a missing student card, visit Student Affairs Office first. Also check Library Reception and Security Office.",lost_id,my student card is missing,for a missing student card visit student affairs office first also check library reception and security office,my student card is missing for a missing student card visit student affairs office first also check library reception and security office
Where should I go for lost ID card,"📋 Please check Student Affairs Office, Library Reception and Security Office for your lost ID card.",lost_id,where should i go for lost id card,please check student affairs office library reception and security office for your lost id card,where should i go for lost id card please check student affairs office library reception and security office for your lost id card
I lost my wallet,"💳 Lost wallet? Check Security Office first, then Student Affairs Office, Cafeteria/Canteen and your last classroom.",lost_wallet,i lost my wallet,lost wallet check security office first then student affairs office cafeteriacanteen and your last classroom,i lost my wallet lost wallet check security office first then student affairs office cafeteriacanteen and your last classroom
My wallet is missing,"💳 If your wallet is missing, report it to Security Office quickly and also check Student Affairs Office.",lost_wallet,my wallet is missing,if your wallet is missing report it to security office quickly and also check student affairs office,my wallet is missing if your wallet is missing report it to security office quickly and also check student affairs office
I lost my charger,"🔌 Lost charger? Check Computer Lab 2, Computer Lab 4, lab staff and the Lost & Found desk.",lost_charger,i lost my charger,lost charger check computer lab 2 computer lab 4 lab staff and the lost found desk,i lost my charger lost charger check computer lab 2 computer lab 4 lab staff and the lost found desk
Where can I find my charger,"🔌 Chargers are commonly left in computer labs. Please check Lab 2, Lab 4 and ask the Lab In-charge.",lost_charger,where can i find my charger,chargers are commonly left in computer labs please check lab 2 lab 4 and ask the lab incharge,where can i find my charger chargers are commonly left in computer labs please check lab 2 lab 4 and ask the lab incharge
I lost my book,"📖 Lost book? Check Library counter, your last classroom and report it at Lost & Found desk.",lost_book,i lost my book,lost book check library counter your last classroom and report it at lost found desk,i lost my book lost book check library counter your last classroom and report it at lost found desk
My notebook is missing,"📖 For a missing notebook, check the classroom, library counter and Student Affairs Office.",lost_book,my notebook is missing,for a missing notebook check the classroom library counter and student affairs office,my notebook is missing for a missing notebook check the classroom library counter and student affairs office
I lost my keys,🔑 Lost keys? Check Security Office and Main Gate desk because keys are usually submitted there.,lost_keys,i lost my keys,lost keys check security office and main gate desk because keys are usually submitted there,i lost my keys lost keys check security office and main gate desk because keys are usually submitted there
My keys are missing,🔑 Please visit Security Office and describe your keychain to help staff identify it quickly.,lost_keys,my keys are missing,please visit security office and describe your keychain to help staff identify it quickly,my keys are missing please visit security office and describe your keychain to help staff identify it quickly
I lost my USB,"💾 Lost USB or pendrive? Check Computer Lab 2, Lab 4, Lab In-charge and Lost & Found desk.",lost_usb,i lost my usb,lost usb or pendrive check computer lab 2 lab 4 lab incharge and lost found desk,i lost my usb lost usb or pendrive check computer lab 2 lab 4 lab incharge and lost found desk
My pendrive is missing,💾 USBs are commonly left near PCs. Please ask the lab staff and check the Lost & Found desk.,lost_usb,my pendrive is missing,usbs are commonly left near pcs please ask the lab staff and check the lost found desk,my pendrive is missing usbs are commonly left near pcs please ask the lab staff and check the lost found desk
I found an ID card,✅ Great! Please submit the found ID card to Student Affairs Office or Library Reception. Do not share personal details publicly.,found_id,i found an id card,great please submit the found id card to student affairs office or library reception do not share personal details publicly,i found an id card great please submit the found id card to student affairs office or library reception do not share personal details publicly
